Time,Time Reference,fc1HighImuValuesAccelX.value,fc1HighImuValuesAccelY.distinct,fc1HighImuValuesAccelZ.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct
1.76514E+12,2.842,7.963580608,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.862,8.020249367,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.893,7.906912327,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.919,undefined,0.00669271,0.074079156,6.76172781,0.081008002,-0.109312005
1.76514E+12,2.926,7.963580608,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.959,7.680239201,undefined,undefined,undefined,undefined,undefined
1.76514E+12,2.992,7.793575764,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.019,undefined,0.00669271,0.17178309,6.597760201,0.01952,-0.148352012
1.76514E+12,3.027,7.736907482,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.06,7.680239201,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.113,7.340229034,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.119,undefined,-0.04997557,-0.267884731,6.687552452,0.033184003,-0.062464003
1.76514E+12,3.135,7.453565598,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.155,7.453565598,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.175,8.076917648,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.215,7.623570919,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.219,undefined,0.00669271,-0.463292599,6.368400097,0.023424,-0.066368006
1.76514E+12,3.236,7.396897316,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.268,7.340229034,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.303,7.17022419,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.319,undefined,-0.163312137,-0.072476745,6.105855942,0.085887998,-0.086864002
1.76514E+12,3.338,7.283560753,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.367,7.566902637,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.404,7.000219345,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.419,undefined,0.176697612,-0.414440632,6.00728035,0.017568002,-0.072223999
1.76514E+12,3.45,7.056887627,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.475,6.943551064,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.501,6.773546219,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.519,undefined,0.233365893,0.220635056,5.930176258,0.099552006,-0.076127999
1.76514E+12,3.521,7.056887627,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.541,6.773546219,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.583,6.716877937,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.603,6.716877937,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.619,undefined,-0.04997557,-0.170180798,5.656896114,0.01952,-0.074176006
1.76514E+12,3.639,6.8302145,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.667,6.660209656,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.687,6.660209656,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.707,6.490204811,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.719,undefined,0.063360989,-0.267884731,5.468527794,0.016592002,0.011712
