time.3,pressure,Pressure MSL,Pressure AGL,time.15,lat,long,GPS MSL,state
511.431,95048.0,536.121,-0.0762939,,,,,
511.631,95046.0,536.296,0.0980835,,,,,
511.832,95048.0,536.121,-0.0762939,,,,,
512.032,95046.0,536.296,0.0980835,,,,,
512.231,95048.0,536.121,-0.0762939,,,,,
512.431,95051.0,535.86,-0.337891,,,,,
512.631,95051.0,535.86,-0.337891,,,,,
512.831,95046.0,536.296,0.0980835,,,,,
513.031,95050.0,535.947,-0.250732,,,,,
513.231,95053.0,535.683,-0.514954,,,,,
513.431,95051.0,535.86,-0.337891,,,,,
513.632,95046.0,536.296,0.0980835,,,,,
513.831,95049.0,536.034,-0.163513,,,,,
514.031,95050.0,535.947,-0.250732,,,,,
514.231,95054.0,535.595,-0.602112,,,,,
514.431,95050.0,535.947,-0.250732,,,,,
514.631,95050.0,535.947,-0.250732,,,,,
514.831,95048.0,536.121,-0.0762939,,,,,
515.031,95049.0,536.034,-0.163513,,,,,
515.231,95047.0,536.208,0.0108643,,,,,
515.431,95047.0,536.208,0.0108643,,,,,
515.641,95049.0,536.034,-0.163513,,,,,
515.831,95044.0,536.473,0.275085,,,,,
516.03,95047.0,536.208,0.0108643,,,,,
516.236,95049.0,536.034,-0.163513,,,,,
516.431,95051.0,535.86,-0.337891,,,,,
516.63,95054.0,535.595,-0.602112,,,,,
516.83,95051.0,535.86,-0.337891,,,,,
517.03,95048.0,536.121,-0.0762939,,,,,
517.233,95049.0,536.034,-0.163513,,,,,
517.431,95047.0,536.208,0.0108643,,,,,
517.631,95047.0,536.208,0.0108643,,,,,
517.832,95048.0,536.121,-0.0762939,,,,,
518.03,95049.0,536.034,-0.163513,,,,,
518.23,95050.0,535.947,-0.250732,,,,,
518.43,95053.0,535.683,-0.514954,,,,,
518.63,95048.0,536.121,-0.0762939,,,,,
518.83,95052.0,535.772,-0.42511,,,,,
519.03,95051.0,535.86,-0.337891,,,,,
