Time,Time Reference(milisecond),Time Reference(seconds),fc1BaroValuesAltitude.distinct,fc1GpsValuesAltitude.distinct,fc1GpsValuesLongitude.distinct,fc1GpsValuesLatitude.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct,fc1LowImuValuesGyroX.distinct,fc1LowImuValuesGyroY.distinct,fc1LowImuValuesGyroZ.distinct
1.76514E+12,100231,100.231,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100236,100.236,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100239,100.239,undefined,905.151062,-117.8119965,35.34516907,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100240,100.24,undefined,undefined,undefined,undefined,-1.058959961,-0.666608036,1.252207994,33.04000092,-129.7100067,-19.87999916
1.76514E+12,100241,100.241,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100246,100.24600000000001,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100248,100.248,undefined,undefined,undefined,undefined,-1.058959961,-0.666608036,1.252207994,33.04000092,-129.7100067,-19.87999916
1.76514E+12,100251,100.251,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100256,100.256,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100261,100.261,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100266,100.26599999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100271,100.271,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100276,100.276,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100281,100.28099999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100286,100.286,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100291,100.291,undefined,904.3770142,-117.8119965,35.34516907,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100292,100.292,950.9090576,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100293,100.29299999999999,undefined,undefined,undefined,undefined,-0.807152033,-0.647087991,1.381040096,-43.33000183,-118.0199966,-61.59999847
1.76514E+12,100296,100.296,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100301,100.301,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100306,100.306,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100309,100.309,undefined,903.6020508,-117.8119965,35.34516907,-0.980880022,-0.777872026,0.853024006,-29.81999969,-106.5400009,-66.5
1.76514E+12,100311,100.311,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100316,100.316,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100317,100.317,undefined,undefined,undefined,undefined,-0.768112004,-0.893040061,0.918416023,-11.19999981,-82.80999756,-69.58000183
1.76514E+12,100321,100.321,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100325,100.325,undefined,undefined,undefined,undefined,-0.620736003,-0.792512,1.202432036,1.889999986,-77.55999756,-86.23999786
1.76514E+12,100326,100.326,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100331,100.33099999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100336,100.336,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100341,100.341,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100342,100.342,undefined,902.8270264,-117.8119965,35.34516907,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100343,100.34299999999999,941.3279419,undefined,undefined,undefined,-0.404064,-0.557296038,0.883280039,10.14999962,-72.66000366,-109.6900024
1.76514E+12,100346,100.346,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100351,100.351,undefined,undefined,undefined,undefined,-0.404064,-0.557296038,0.883280039,10.14999962,-72.66000366,-109.6900024
1.76514E+12,100356,100.356,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100359,100.35900000000001,undefined,undefined,undefined,undefined,-0.375760019,-0.578768015,1.010160089,5.389999866,-61.18000031,-107.5199966
1.76514E+12,100361,100.361,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100366,100.366,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100371,100.37100000000001,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100374,100.374,undefined,902.052063,-117.8119965,35.34516907,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100375,100.375,undefined,undefined,undefined,undefined,-0.577791989,-0.598288,1.448384047,21.28000069,-41.43999863,-96.45999908
