time,acceleration,time,lat. X accel.,lat. Y accel.,time,Gyro X,Gyro Y,Gyro Z,time,pressure,Pressure MSL,Pressure AGL,time,A Voltage,time,B Voltage,time,C Voltage,time,D Voltage,time,Mag X,Mag Y,Mag Z,time,eject. bat. voltage,time,comp. bat. voltage,time,state,A cont.,B cont.,C cont.,D cont.,A on., B on,C on,D on,time, QX, QY, QZ, QW, Angle,time,temperature,time,GPS Time of Week, valid leap seconds, leap seconds,time,lat,long,GPS MSL,SVs
4.493,1.03125,4.493,-0.015625,-0.0195312,4.494,0.14,-0.21,-0.07,8.985,95056,535.421,-0.77655,22.463,3.3,22.463,3.3,22.463,3.3,22.464,3.3,44.9038,-0.000171,-0.000144,-0.000304,44.9068,8.35146,44.9088,8.33848,44.9118,Pad,1,1,1,1,0,0,0,0,44.9178,-0.707,-0.708,0.0103,-0.000336,179,224.514,28.89,224.519,74619000,1,18,115.51,35.346917,-117.80913,637.625,25
4.592,1.04297,4.592,-0.015625,-0.015625,4.593,0.07,-0.21,0,9.185,95061,534.982,-1.21515,22.962,3.3,22.963,3.3,22.963,3.3,22.964,3.3,45.9038,-0.000171,-0.000144,-0.00031,45.9068,8.33848,45.9078,8.32873,45.9098,Pad,1,1,1,1,0,0,0,0,45.9158,-0.707,-0.708,0.0113,0.000793,179,229.515,28.94,229.518,74624000,1,18,117.452,35.346916,-117.80913,637.64606,26
4.691,1.05469,4.692,-0.015625,-0.0195312,4.694,0.14,-0.07,0,9.385,95062,534.895,-1.30237,23.463,3.3,23.463,3.3,23.463,3.3,23.464,3.3,46.9038,-0.000168,-0.000144,-0.000307,46.9078,8.35146,46.9078,8.33848,46.9118,Pad,1,1,1,1,0,0,0,0,46.9168,-0.707,-0.708,0.0109,3.05e-05,179,234.515,28.97,234.518,74629200,1,18,119.416,35.346916,-117.80914,637.64606,26
4.791,1.03516,4.793,-0.015625,-0.0117188,4.794,0.14,-0.07,0,9.585,95060,535.07,-1.12793,23.963,3.3,23.963,3.3,23.964,3.3,23.964,3.3,47.9048,-0.000168,-0.000143,-0.000307,47.9078,8.33848,47.9078,8.32873,47.9098,Pad,1,1,1,1,0,0,0,0,47.9148,-0.707,-0.708,0.0109,0,179,239.518,29.01,239.519,74634200,1,18,121.38,35.346916,-117.80914,637.62305,26
4.891,1.03516,4.892,-0.015625,-0.0195312,4.895,0.14,-0.14,0,9.785,95048,536.121,-0.0762939,24.463,3.3,24.463,3.3,24.464,3.3,24.464,3.3,48.9048,-0.000171,-0.000144,-0.000304,48.9078,8.35146,48.9078,8.34172,48.9098,Pad,1,1,1,1,0,0,0,0,48.9158,-0.707,-0.708,0.0108,-0.00058,179,244.516,29.05,244.519,74639400,1,18,123.33,35.346916,-117.80914,637.63202,25
4.993,1.04297,4.993,-0.015625,-0.015625,4.994,0.21,-0.07,-0.07,9.985,95059,535.157,-1.04077,24.962,3.3,24.962,3.3,24.964,3.3,24.965,3.3,49.9038,-0.000171,-0.000144,-0.000307,49.9078,8.34172,49.9078,8.33198,49.9098,Pad,1,1,1,1,0,0,0,0,49.9148,-0.706,-0.708,0.0118,0.000366,179,249.517,29.1,249.52,74644400,1,18,125.282,35.346916,-117.80914,637.71002,26
5.092,1.03516,5.092,-0.015625,-0.015625,5.093,0.21,-0.14,0,10.185,95057,535.334,-0.863708,25.462,3.3,25.462,3.3,25.463,3.3,25.466,3.3,50.9038,-0.000171,-0.000144,-0.000307,50.9067,8.34822,50.9087,8.33848,50.9107,Pad,1,1,1,1,0,0,0,0,50.9167,-0.706,-0.708,0.0116,0.000641,179,254.518,29.14,254.521,74649600,1,18,127.245,35.346916,-117.80914,637.80603,26
5.191,1.03906,5.192,-0.015625,-0.015625,5.194,0.14,-0.14,-0.07,10.385,95056,535.421,-0.77655,25.962,3.3,25.963,3.3,25.963,3.3,25.967,3.3,51.9037,-0.000171,-0.000144,-0.000307,51.9077,8.34822,51.9077,8.34172,51.9097,Pad,1,1,1,1,0,0,0,0,51.9157,-0.706,-0.708,0.011,-0.000366,179,259.521,29.17,259.523,74654600,1,18,129.205,35.346915,-117.80914,637.87103,26
5.291,1.04297,5.292,-0.015625,-0.015625,5.294,0.07,-0.14,0,10.585,95056,535.421,-0.77655,26.464,3.3,26.464,3.3,26.465,3.3,26.465,3.3,52.9087,-0.000168,-0.000143,-0.000307,52.9097,8.34172,52.9097,8.32873,52.9107,Pad,1,1,1,1,0,0,0,0,52.9157,-0.707,-0.708,0.0107,0.000366,179,264.519,29.22,264.524,74659800,1,18,131.174,35.346915,-117.80914,637.93701,26
5.391,1.03906,5.392,-0.015625,-0.0117188,5.394,0.07,-0.14,-0.07,10.785,95063,534.808,-1.38953,26.961,3.3,26.962,3.3,26.965,3.3,26.965,3.3,53.9047,-0.000171,-0.000144,-0.000307,53.9077,8.34822,53.9087,8.33848,53.9107,Pad,1,1,1,1,0,0,0,0,53.9147,-0.707,-0.708,0.0108,0.000916,179,269.521,29.25,269.529,74664800,1,18,133.177,35.346915,-117.80914,637.96802,26
