time,lat,long,GPS MSL,SVs
478.141,35.346918,-117.80914,631.76501,26
480.099,35.346918,-117.80914,631.60504,26
482.066,35.346918,-117.80914,631.40302,27
484.019,35.346918,-117.80914,631.25806,25
485.985,35.346917,-117.80914,631.12103,25
487.929,35.346917,-117.80914,630.97601,26
489.885,35.346917,-117.80914,630.84406,26
491.86,35.346917,-117.80914,630.73303,26
493.824,35.346917,-117.80914,630.59802,27
495.765,35.346917,-117.80914,630.513,26
497.708,35.346917,-117.80914,630.37701,26
499.667,35.346917,-117.80914,630.25104,26
501.601,35.346917,-117.80914,630.15503,27
503.549,35.346917,-117.80914,630.04602,26
505.489,35.346917,-117.80914,629.94806,27
507.46,35.346917,-117.80914,629.854,26
509.403,35.346917,-117.80914,629.73401,25
511.331,35.346917,-117.80914,629.65906,27
513.278,35.346917,-117.80914,629.565,27
515.264,35.346917,-117.80914,629.44806,27
517.216,35.346917,-117.80914,629.302,27
519.182,35.346917,-117.80914,629.16205,27
521.136,35.346916,-117.80914,629.06805,27
523.081,35.346916,-117.80914,628.97205,27
525.028,35.346916,-117.80914,628.87701,27
526.998,35.346916,-117.80914,628.79401,27
528.959,35.346916,-117.80914,628.69904,27
530.908,35.346916,-117.80914,628.62103,26
532.907,35.346915,-117.80914,628.53302,26
534.832,35.346915,-117.80914,628.44305,26
536.793,35.346915,-117.80914,628.36505,27
538.761,35.346915,-117.80914,628.276,27
540.747,35.346915,-117.80914,628.12604,27
542.691,35.346914,-117.80914,628.00604,27
544.667,35.346914,-117.80914,627.92004,27
546.621,35.346914,-117.80914,627.80103,27
548.6,35.346914,-117.80914,627.71906,27
550.563,35.346914,-117.80914,627.60901,27
552.521,35.346914,-117.80914,627.50702,27
554.483,35.346913,-117.80914,627.39105,27
556.456,35.346913,-117.80914,627.29004,27
558.404,35.346913,-117.80914,627.18005,27
560.35,35.346913,-117.80914,627.06805,27
562.304,35.346913,-117.80914,627.00104,26
564.286,35.346913,-117.80914,626.94,27
566.253,35.346913,-117.80914,626.86505,27
568.198,35.346913,-117.80914,626.77002,27
570.157,35.346913,-117.80914,626.68005,27
572.112,35.346913,-117.80913,626.62103,27
574.088,35.346913,-117.80913,626.55304,27
576.054,35.346913,-117.80913,626.48901,27
578.043,35.346913,-117.80913,626.41504,27
579.995,35.346914,-117.80913,626.37006,27
581.949,35.346914,-117.80913,626.34302,27
583.899,35.346914,-117.80913,626.29102,27
585.848,35.346914,-117.80913,626.276,27
587.813,35.346914,-117.80913,626.25104,27
589.766,35.346914,-117.80913,626.203,27
591.739,35.346914,-117.80913,626.18506,26
593.699,35.346914,-117.80913,626.15601,27
595.66,35.346914,-117.80913,626.104,27
597.639,35.346914,-117.80913,626.09003,26
599.582,35.346914,-117.80913,626.04303,27
601.529,35.346914,-117.80913,626.00702,27
603.494,35.346914,-117.80913,625.93805,26
605.463,35.346914,-117.80913,625.89404,26
607.411,35.346914,-117.80913,625.89502,26
609.363,35.346914,-117.80913,625.84204,26
611.326,35.346914,-117.80913,625.79901,26
613.28,35.346915,-117.80913,625.77301,26
615.271,35.346915,-117.80913,625.71802,26
617.225,35.346915,-117.80913,625.63904,26
619.177,35.346915,-117.80913,625.59406,27
621.143,35.346914,-117.80913,625.52905,27
623.109,35.346914,-117.80913,625.49304,27
625.075,35.346914,-117.80913,625.43701,27
627.074,35.346914,-117.80913,625.40906,27
629.016,35.346914,-117.80913,625.39001,27
630.962,35.346914,-117.80913,625.33905,27
632.933,35.346914,-117.80913,625.30701,27
634.9,35.346914,-117.80913,625.24603,27
636.865,35.346914,-117.80913,625.18805,27
638.817,35.346914,-117.80913,625.112,27
640.807,35.346913,-117.80913,625.06604,27
642.711,35.346914,-117.80913,625.01801,27
644.699,35.346914,-117.80913,624.93701,27
646.641,35.346914,-117.80913,624.89606,26
648.604,35.346914,-117.80913,624.82202,27
650.347,35.346913,-117.80913,624.75604,27
650.578,35.346913,-117.80913,624.74402,27
650.745,35.346913,-117.80913,624.77405,27
650.933,35.346915,-117.80913,626.05603,27
651.132,35.346917,-117.80913,629.802,27
651.329,35.346917,-117.80913,635.97302,26
651.563,35.346918,-117.80914,644.49304,23
651.728,35.346917,-117.80914,655.52106,21
651.927,35.346916,-117.80915,669.02106,22
652.123,35.346913,-117.80916,685.02802,22
652.322,35.346909,-117.80918,703.60706,23
652.555,35.346906,-117.80921,724.80804,23
652.719,35.346902,-117.80923,748.61102,23
652.914,35.346898,-117.80927,774.97406,23
653.1,35.346895,-117.80931,803.87006,23
653.304,35.346891,-117.80935,835.30005,23
653.536,35.346888,-117.80939,869.20203,23
653.697,35.346885,-117.80944,905.38403,23
653.897,35.346882,-117.80949,943.82306,24
654.085,35.346879,-117.80955,984.36707,24
654.288,35.346875,-117.80961,1026.942,24
654.517,35.346869,-117.80967,1071.3561,24
654.686,35.346863,-117.80973,1117.4771,24
654.885,35.346857,-117.8098,1165.114,25
655.069,35.34685,-117.80987,1214.004,24
655.282,35.346843,-117.80994,1263.5861,25
655.511,35.346837,-117.81001,1313.175,25
655.676,35.346832,-117.81008,1362.2711,27
655.875,35.346827,-117.81015,1410.5581,27
656.073,35.346822,-117.81022,1457.957,26
656.26,35.346817,-117.81029,1504.514,26
656.486,35.346811,-117.81036,1550.186,27
656.674,35.346806,-117.81043,1594.9631,27
656.859,35.3468,-117.81049,1638.8451,27
657.057,35.346794,-117.81056,1681.8301,27
657.251,35.346788,-117.81062,1723.9691,27
657.472,35.346782,-117.81069,1765.269,27
657.649,35.346777,-117.81075,1805.7711,27
657.845,35.346772,-117.81082,1845.4821,27
658.037,35.346768,-117.81088,1884.4231,27
658.239,35.346764,-117.81094,1922.608,27
658.463,35.34676,-117.811,1960.0431,27
658.631,35.346755,-117.81106,1996.7491,27
658.827,35.346751,-117.81112,2032.7261,27
659.027,35.346747,-117.81118,2067.9932,27
659.217,35.346743,-117.81124,2102.563,27
659.439,35.346739,-117.8113,2136.448,27
659.616,35.346735,-117.81135,2169.6702,27
659.806,35.34673,-117.81141,2202.239,27
660.004,35.346726,-117.81147,2234.1592,27
660.205,35.346723,-117.81153,2265.4412,27
660.445,35.346719,-117.81158,2296.1091,27
660.604,35.346716,-117.81164,2326.1572,27
660.785,35.346712,-117.81169,2355.6021,27
660.983,35.346709,-117.81175,2384.4561,27
661.184,35.346706,-117.8118,2412.717,27
661.425,35.346703,-117.81185,2440.4092,27
661.591,35.3467,-117.81191,2467.5181,27
